dataset,model,win,dim,ndcg@10,recall@10,recall@100,mrr@10
nfcorpus,E5-base-v2,512,768,0.3529,0.1706,0.3197,0.5403
nfcorpus,Nomic-v1.5,8192,768,0.3471,0.1711,0.2984,0.5307
nfcorpus,BGE-small,512,384,0.3444,0.1618,0.3125,0.5272
nfcorpus,MiniLM-L6,256,384,0.3189,0.1589,0.3148,0.5083
nfcorpus,BM25,-,-,0.3071,0.1522,0.2425,0.5085
scifact,E5-base-v2,512,768,0.7274,0.8507,0.9627,0.6931
scifact,Nomic-v1.5,8192,768,0.7076,0.8536,0.9317,0.6694
scifact,BGE-small,512,384,0.7057,0.8296,0.9433,0.6725
scifact,BM25,-,-,0.6523,0.7757,0.8731,0.6184
scifact,MiniLM-L6,256,384,0.6484,0.7883,0.925,0.6068
