dataset,k_fb,beta,ndcg10,r10,r100,mrr10,d_ndcg
scifact,3,0.3,0.7267912119959401,0.859,0.9633333333333334,0.6888915343915344,-0.0006540810019143306
scifact,3,0.5,0.7224386113500025,0.8696666666666666,0.9633333333333334,0.679521164021164,-0.005006681647851896
scifact,3,0.7,0.7180736216232504,0.8696666666666666,0.96,0.6740251322751323,-0.00937167137460404
scifact,3,1.0,0.7153933568686847,0.8596666666666666,0.9516666666666667,0.6736335978835979,-0.012051936129169771
scifact,5,0.3,0.725297515206575,0.8623333333333333,0.9666666666666667,0.6862010582010581,-0.0021477777912793927
scifact,5,0.5,0.7210118817356408,0.8623333333333333,0.9666666666666667,0.6803637566137566,-0.00643341126221364
scifact,5,0.7,0.7210747893594533,0.8629999999999999,0.9633333333333334,0.6812804232804233,-0.006370503638401082
scifact,5,1.0,0.7135899065099488,0.8663333333333333,0.955,0.6707804232804233,-0.01385538648790563
scifact,10,0.3,0.7207955634444507,0.849,0.9660000000000001,0.68425,-0.006649729553403705
scifact,10,0.5,0.7158495243291687,0.8556666666666666,0.9626666666666667,0.6751640211640212,-0.011595768668685724
scifact,10,0.7,0.7112959841329889,0.859,0.9566666666666667,0.669339947089947,-0.01614930886486554
scifact,10,1.0,0.699587698349475,0.859,0.9533333333333334,0.6533611111111111,-0.027857594648379447
nfcorpus,3,0.3,0.36384448350854676,0.17890014524860087,0.3332518476283387,0.5380792667944371,0.010901444281149086
nfcorpus,3,0.5,0.3662650453144273,0.17836892010765062,0.3378959834166309,0.5372008452503808,0.013322006087029603
nfcorpus,3,0.7,0.3649057471682654,0.1797434734732299,0.3384173523087853,0.5313614919652071,0.011962707940867734
nfcorpus,3,1.0,0.3636222053170125,0.1775794454074114,0.34417930734078966,0.5324291119956754,0.010679166089614833
nfcorpus,5,0.3,0.3603145428943855,0.1768183650664451,0.3319446537821536,0.5342129834389896,0.007371503666987855
nfcorpus,5,0.5,0.36018662165679993,0.17619642099434596,0.33450380257214624,0.5364133372647305,0.007243582429402262
nfcorpus,5,0.7,0.35777756487850515,0.17366337390153905,0.3443877145817909,0.5274116664209543,0.00483452565110748
nfcorpus,5,1.0,0.35463855081083817,0.1734163718899639,0.3457407333970817,0.5242075777679494,0.001695511583440501
nfcorpus,10,0.3,0.35794385951947155,0.17459041842480302,0.32854344587284895,0.5377143839992137,0.005000820292073882
nfcorpus,10,0.5,0.35690667910795315,0.17442097467966505,0.33415490181029567,0.5272728389601454,0.003963639880555481
nfcorpus,10,0.7,0.35316021683304394,0.1743419432963891,0.33451624446441397,0.5154319622585877,0.0002171776056462682
nfcorpus,10,1.0,0.34974635468713,0.1741715007579468,0.33831831163403137,0.5158337019018133,-0.003196684540267669
fiqa,3,0.3,0.40318273894851325,0.4722137944360166,0.739926834139797,0.48011096413874194,0.004516383188901352
fiqa,3,0.5,0.40221219504402195,0.47138579441820183,0.7396335017862795,0.47776369292572995,0.003545839284410046
fiqa,3,0.7,0.39971457938703475,0.46918672034412773,0.7380964157584528,0.4735419116206153,0.0010482236274228507
fiqa,3,1.0,0.39427685196573786,0.4637083252823993,0.7279174486350413,0.4646237507348619,-0.004389503793874039
fiqa,5,0.3,0.40285441395393173,0.4734384699662478,0.7385214108593738,0.48048390652557316,0.0041880581943198325
fiqa,5,0.5,0.39609226721494756,0.4690660419827087,0.7367503938105789,0.4741004066235548,-0.0025740885446643436
fiqa,5,0.7,0.39218051094792944,0.4652540403697811,0.7384136311219645,0.4687824563981972,-0.006485844811682462
fiqa,5,1.0,0.38927213644960984,0.4667555138619953,0.73690349002849,0.46329426317852235,-0.009394219310002061
fiqa,10,0.3,0.3971189597650073,0.46951005955635583,0.7379004525995266,0.4762455908289242,-0.0015473959946046278
fiqa,10,0.5,0.39276995115340624,0.46939431881561505,0.7384699705301556,0.4695718204977464,-0.005896404606205663
fiqa,10,0.7,0.3885692553716319,0.4650108679043864,0.7345489644100754,0.46403708602782673,-0.010097100387980007
fiqa,10,1.0,0.3781572891087421,0.46102424238998313,0.7328642936281826,0.44945191553987845,-0.020509066650869823
