dataset,pipeline,ndcg10,r10,r100,mrr10,d_vs_naive
scifact,E5 naive (raw),0.42789681039486605,0.6525000000000001,0.85,0.3608928571428572,0.0
scifact,HyDE×N (raw),0.5435716578932637,0.745,0.9,0.4906547619047618,0.11567484749839763
scifact,CE(naive top100),0.45328863135999364,0.585,0.85,0.4254861111111111,0.0253918209651276
scifact,CE(HyDE×N top100),0.47136841447962163,0.635,0.9,0.43450396825396825,0.04347160408475559
nfcorpus,E5 naive (raw),0.36236282307402107,0.2058066709230406,0.34967921838485577,0.5098214285714285,0.0
nfcorpus,HyDE×N (raw),0.392925466107677,0.22126631056018314,0.4344275577724034,0.5681547619047619,0.030562643033655912
nfcorpus,CE(naive top100),0.3716798524945732,0.19754761498706308,0.34967921838485577,0.5869047619047618,0.009317029420552125
nfcorpus,CE(HyDE×N top100),0.38376807638099647,0.22004761498706307,0.4344275577724034,0.5928075396825396,0.021405253306975403
fiqa,E5 naive (raw),0.3376646844412469,0.41716269841269843,0.7113293650793651,0.4209623015873015,0.0
fiqa,HyDE×N (raw),0.3779301037139827,0.4583829365079365,0.7618452380952382,0.4469444444444445,0.0402654192727358
fiqa,CE(naive top100),0.31569453361773936,0.3686904761904762,0.7113293650793651,0.3852777777777778,-0.02197015082350756
fiqa,CE(HyDE×N top100),0.3238810452743749,0.3700396825396825,0.7618452380952382,0.3954464285714286,-0.01378363916687203
