qid,cond,faithfulness,relevancy,correctness,citation_grounding,n_claims,latency_s,refused
2498,oracle,0.8,0.8149374723434448,1.0,1.0,5,8.57,False
2498,strong,,,0.0,1.0,0,12.58,True
2498,hydeN,1.0,0.8192704319953918,0.5,1.0,4,12.18,False
2498,adversarial,,,0.0,1.0,0,10.85,True
2498,closed_book,0.0,0.878159244855245,1.0,,7,8.23,False
6875,oracle,,,0.0,1.0,0,6.61,True
6875,strong,1.0,0.8732642233371735,0.0,1.0,4,10.81,True
6875,hydeN,,0.9999999403953552,0.0,1.0,0,8.51,True
6875,adversarial,,,0.0,1.0,0,7.69,True
6875,closed_book,0.0,0.9469523429870605,0.0,,8,8.49,False
529,oracle,1.0,0.8663971026738485,0.5,1.0,5,8.8,True
529,strong,1.0,0.8880090713500977,0.5,1.0,5,9.71,False
529,hydeN,1.0,0.8655579487482706,0.5,1.0,3,10.71,False
529,adversarial,1.0,0.8609018524487814,0.5,1.0,5,10.1,False
529,closed_book,0.0,0.8722766637802124,0.5,,7,9.5,False
6004,oracle,,0.9400889873504639,0.0,1.0,0,8.44,True
6004,strong,,,0.0,1.0,0,8.5,True
6004,hydeN,,,0.0,1.0,0,8.97,True
6004,adversarial,,,0.0,,0,7.52,True
6004,closed_book,0.0,0.8361919323603312,0.0,,9,10.36,False
7509,oracle,1.0,0.793084462483724,0.5,1.0,5,10.12,False
7509,strong,1.0,0.8495396971702576,0.5,1.0,8,9.41,False
7509,hydeN,1.0,0.8776154716809591,0.5,1.0,7,10.4,False
7509,adversarial,1.0,0.8723832368850708,0.5,1.0,9,8.44,False
7509,closed_book,0.0,0.8732644120852152,0.5,,7,10.47,False
4767,oracle,0.8571428571428571,0.8363491694132487,0.5,1.0,7,12.17,False
4767,strong,1.0,0.8098053932189941,0.5,1.0,8,10.81,False
4767,hydeN,1.0,0.8437787095705668,0.5,1.0,7,11.53,False
4767,adversarial,0.8,0.7735207676887512,0.5,1.0,5,8.69,False
4767,closed_book,0.0,0.8574413259824117,0.5,,5,8.85,False
2713,oracle,0.75,0.8124162753423055,0.5,1.0,4,7.47,False
2713,strong,0.3333333333333333,0.8509279787540436,0.0,1.0,3,9.19,False
2713,hydeN,1.0,,0.0,1.0,4,7.94,True
2713,adversarial,,,0.0,,0,8.85,True
2713,closed_book,0.0,0.870754599571228,0.0,,3,6.83,False
9487,oracle,1.0,0.9036615490913391,0.5,1.0,2,8.48,False
9487,strong,,1.0,0.0,1.0,0,9.16,True
9487,hydeN,,,0.0,,0,7.57,True
9487,adversarial,1.0,0.8226445913314819,0.5,1.0,4,10.06,False
9487,closed_book,0.0,0.8887856801350912,0.0,,5,7.31,True
5951,oracle,1.0,0.872315506140391,0.5,1.0,3,10.36,False
5951,strong,1.0,0.853134830792745,0.5,1.0,4,9.93,False
5951,hydeN,1.0,0.8788507978121439,0.5,1.0,5,8.24,True
5951,adversarial,1.0,0.8701703548431396,0.5,1.0,3,11.01,True
5951,closed_book,0.0,0.8507322271664938,0.5,,5,10.23,False
2070,oracle,0.8,0.8483183781305949,0.5,1.0,10,14.22,False
2070,strong,1.0,0.8827008008956909,0.5,1.0,6,9.51,False
2070,hydeN,1.0,0.8844587802886963,1.0,1.0,7,9.77,False
2070,adversarial,,0.8394419848918915,0.0,1.0,0,9.99,False
